geracao,mse_treino,mse_validacao,gap_treino_validacao,melhoria,geracoes_sem_melhoria,diversidade,media_genes,desvio_genes,menor_gene,maior_gene,percentual_limites,tempo_parede_geracao_segundos,tempo_cpu_geracao_segundos
88,0.006586124124816649,0.007685977364340912,0.0010998532395242629,0.00041242554928354845,0,1.3364437874495974,-0.18158869653161944,3.4778672161021924,-5.0,5.0,32.648648648648646,0.16976620000059484,0.1875
89,0.006558332601635668,0.007572599891290143,0.001014267289654475,2.779152318098041e-05,0,1.4258085946693186,-0.1555539970413473,3.4742766724333136,-5.0,5.0,32.79279279279279,0.15604049999819836,0.171875
90,0.006558332601635668,0.007572599891290143,0.001014267289654475,0.0,1,1.3930795877375353,-0.14691185173449875,3.4648874994643233,-5.0,5.0,32.38738738738739,0.1555995000016992,0.171875
91,0.006558332601635668,0.007572599891290143,0.001014267289654475,0.0,2,1.4180693137734397,-0.1373433709521094,3.458167651227754,-5.0,5.0,31.675675675675674,0.16131509999831906,0.171875
92,0.006558332601635668,0.007572599891290143,0.001014267289654475,0.0,3,1.4205802270064694,-0.1366090900393972,3.461210356830821,-5.0,5.0,32.0,0.15350409999518888,0.125
93,0.006539465353409468,0.00754356629425468,0.0010041009408452125,1.8867248226200548e-05,0,1.40311062940743,-0.15198609046821018,3.4544503066466152,-5.0,5.0,31.486486486486488,0.1627024000044912,0.15625
94,0.006502931972072615,0.007583726676588468,0.0010807947045158531,3.653338133685277e-05,0,1.4018534871484594,-0.10654175738733522,3.4568799265598726,-5.0,5.0,31.405405405405407,0.1636891000016476,0.15625
95,0.006502931972072615,0.007583726676588468,0.0010807947045158531,0.0,1,1.4410488175585967,-0.07851376258609245,3.445929268296215,-5.0,5.0,31.234234234234233,0.16395550000015646,0.203125
96,0.006502931972072615,0.007583726676588468,0.0010807947045158531,0.0,2,1.446799531745522,-0.06699638407838888,3.450362701358999,-5.0,5.0,31.756756756756754,0.1620277000038186,0.15625
97,0.006502931972072615,0.007583726676588468,0.0010807947045158531,0.0,3,1.485002485027003,-0.11719442879876507,3.4386623718288525,-5.0,5.0,31.747747747747745,0.20806149999407353,0.1875
98,0.006502931972072615,0.007583726676588468,0.0010807947045158531,0.0,4,1.5047518335926293,-0.07909177718287737,3.4261485959920317,-5.0,5.0,31.135135135135133,0.19268089999968652,0.203125
99,0.006502931972072615,0.007583726676588468,0.0010807947045158531,0.0,5,1.4722357991833792,-0.08869138653467966,3.4306932375056527,-5.0,5.0,31.036036036036034,0.17945289999624947,0.171875
100,0.006502931972072615,0.007583726676588468,0.0010807947045158531,0.0,6,1.4708985714921872,-0.11715012507076483,3.41872103753713,-5.0,5.0,30.324324324324326,0.17079370000283234,0.1875
